ANO;MES;EMPRESA;ORIGEM;DESTINO;RETORNO;CLASSE IDA;CLASSE VOLTA;TARIFA;ASSENTOS
2022;7;AAL;SBGL;KJFK;9999;Y;NA;624,00;2
2022;7;AAL;SBGL;KJFK;SBGL;J;J;1752,00;2
2022;7;AAL;SBGL;KJFK;SBGL;J;J;2201,00;4
2022;7;AAL;SBGL;KJFK;SBGL;J;J;3900,00;2
2022;7;AAL;SBGL;KJFK;SBGL;J;J;3950,00;4
2022;7;AAL;SBGL;KJFK;SBGL;J;J;4100,00;8
2022;7;AAL;SBGL;KJFK;SBGL;J;J;4150,00;15
2022;7;AAL;SBGL;KJFK;SBGL;Y;Y;792,00;3
2022;7;AAL;SBGL;KJFK;SBGL;Y;Y;869,00;1
2022;7;AAL;SBGL;KJFK;SBGL;Y;Y;922,00;12
2022;7;AAL;SBGL;KJFK;SBGL;Y;Y;999,00;2
2022;7;AAL;SBGL;KJFK;SBGL;Y;Y;1066,00;2
2022;7;AAL;SBGL;KJFK;SBGL;Y;Y;1076,00;1
2022;7;AAL;SBGL;KJFK;SBGL;Y;Y;1118,00;2
2022;7;AAL;SBGL;KJFK;SBGL;Y;Y;1276,00;1
2022;7;AAL;SBGL;KJFK;SBGL;Y;Y;1421,00;2
2022;7;AAL;SBGL;KMIA;9999;J;NA;1064,00;6
2022;7;AAL;SBGL;KMIA;9999;J;NA;1335,00;1
2022;7;AAL;SBGL;KMIA;9999;J;NA;1781,00;1
2022;7;AAL;SBGL;KMIA;9999;J;NA;2685,00;1
2022;7;AAL;SBGL;KMIA;9999;J;NA;3781,00;1
2022;7;AAL;SBGL;KMIA;9999;Y;NA;447,00;1
2022;7;AAL;SBGL;KMIA;9999;Y;NA;477,00;4
2022;7;AAL;SBGL;KMIA;9999;Y;NA;487,00;1
2022;7;AAL;SBGL;KMIA;9999;Y;NA;495,00;1
2022;7;AAL;SBGL;KMIA;9999;Y;NA;512,00;1
2022;7;AAL;SBGL;KMIA;9999;Y;NA;520,00;1
2022;7;AAL;SBGL;KMIA;9999;Y;NA;538,00;1
2022;7;AAL;SBGL;KMIA;9999;Y;NA;552,00;2
2022;7;AAL;SBGL;KMIA;9999;Y;NA;563,00;2
2022;7;AAL;SBGL;KMIA;9999;Y;NA;578,00;2
2022;7;AAL;SBGL;KMIA;9999;Y;NA;585,00;2
2022;7;AAL;SBGL;KMIA;9999;Y;NA;600,00;2
2022;7;AAL;SBGL;KMIA;9999;Y;NA;617,00;1
2022;7;AAL;SBGL;KMIA;9999;Y;NA;628,00;1
2022;7;AAL;SBGL;KMIA;9999;Y;NA;634,00;1
2022;7;AAL;SBGL;KMIA;9999;Y;NA;659,00;1
2022;7;AAL;SBGL;KMIA;9999;Y;NA;699,00;4
2022;7;AAL;SBGL;KMIA;9999;Y;NA;805,00;1
2022;7;AAL;SBGL;KMIA;9999;Y;NA;845,00;3
2022;7;AAL;SBGL;KMIA;9999;Y;NA;885,00;1
2022;7;AAL;SBGL;KMIA;9999;Y;NA;974,00;4
2022;7;AAL;SBGL;KMIA;9999;Y;NA;1116,00;2
2022;7;AAL;SBGL;KMIA;9999;Y;NA;1180,00;1
2022;7;AAL;SBGL;KMIA;9999;Y;NA;1471,00;1
2022;7;AAL;SBGL;KMIA;SBGL;J;J;1684,00;2
2022;7;AAL;SBGL;KMIA;SBGL;J;J;1767,00;1
2022;7;AAL;SBGL;KMIA;SBGL;J;J;1845,00;2
2022;7;AAL;SBGL;KMIA;SBGL;J;J;1850,00;3
2022;7;AAL;SBGL;KMIA;SBGL;J;J;1941,00;2
2022;7;AAL;SBGL;KMIA;SBGL;J;J;2057,00;2
2022;7;AAL;SBGL;KMIA;SBGL;J;J;2071,00;4
2022;7;AAL;SBGL;KMIA;SBGL;J;J;2128,00;4
2022;7;AAL;SBGL;KMIA;SBGL;J;J;2150,00;1
2022;7;AAL;SBGL;KMIA;SBGL;J;J;2175,00;2
2022;7;AAL;SBGL;KMIA;SBGL;J;J;2241,00;1
2022;7;AAL;SBGL;KMIA;SBGL;J;J;2257,00;4
2022;7;AAL;SBGL;KMIA;SBGL;J;J;2299,00;5
2022;7;AAL;SBGL;KMIA;SBGL;J;J;2307,00;1
2022;7;AAL;SBGL;KMIA;SBGL;J;J;2314,00;1
2022;7;AAL;SBGL;KMIA;SBGL;J;J;2328,00;2
2022;7;AAL;SBGL;KMIA;SBGL;J;J;2352,00;2
2022;7;AAL;SBGL;KMIA;SBGL;J;J;2403,00;2
2022;7;AAL;SBGL;KMIA;SBGL;J;J;2539,00;5
2022;7;AAL;SBGL;KMIA;SBGL;J;J;2839,00;1
2022;7;AAL;SBGL;KMIA;SBGL;J;J;2950,00;3
2022;7;AAL;SBGL;KMIA;SBGL;J;J;3022,00;1
2022;7;AAL;SBGL;KMIA;SBGL;J;J;3071,00;2
2022;7;AAL;SBGL;KMIA;SBGL;J;J;3414,00;1
2022;7;AAL;SBGL;KMIA;SBGL;J;J;3468,00;1
2022;7;AAL;SBGL;KMIA;SBGL;J;J;3900,00;3
2022;7;AAL;SBGL;KMIA;SBGL;J;J;4100,00;2
2022;7;AAL;SBGL;KMIA;SBGL;J;J;4139,00;1
2022;7;AAL;SBGL;KMIA;SBGL;J;J;4939,00;1
2022;7;AAL;SBGL;KMIA;SBGL;J;J;4978,00;4
2022;7;AAL;SBGL;KMIA;SBGL;J;J;5178,00;1
2022;7;AAL;SBGL;KMIA;SBGL;J;J;5439,00;1
2022;7;AAL;SBGL;KMIA;SBGL;J;J;5639,00;1
2022;7;AAL;SBGL;KMIA;SBGL;J;J;5778,00;2
2022;7;AAL;SBGL;KMIA;SBGL;J;J;6028,00;1
2022;7;AAL;SBGL;KMIA;SBGL;J;J;6031,00;1
2022;7;AAL;SBGL;KMIA;SBGL;J;J;6189,00;1
2022;7;AAL;SBGL;KMIA;SBGL;J;J;6878,00;1
2022;7;AAL;SBGL;KMIA;SBGL;J;J;7078,00;1
2022;7;AAL;SBGL;KMIA;SBGL;J;J;7362,00;1
2022;7;AAL;SBGL;KMIA;SBGL;J;J;7928,00;2
2022;7;AAL;SBGL;KMIA;SBGL;J;J;8778,00;5
2022;7;AAL;SBGL;KMIA;SBGL;J;Y;1667,00;5
2022;7;AAL;SBGL;KMIA;SBGL;J;Y;2013,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;J;1405,00;2
2022;7;AAL;SBGL;KMIA;SBGL;Y;J;1909,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;824,00;6
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;829,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;949,00;2
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;954,00;2
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;968,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;985,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;990,00;4
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1047,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1055,00;8
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1065,00;3
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1070,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1080,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1081,00;2
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1094,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1115,00;3
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1141,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1145,00;2
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1186,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1195,00;2
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1211,00;4
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1236,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1259,00;3
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1284,00;4
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1293,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1302,00;2
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1357,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1365,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1382,00;2
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1395,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1398,00;5
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1404,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1407,00;2
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1433,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1439,00;3
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1447,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1462,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1463,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1472,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1473,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1498,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1503,00;6
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1505,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1519,00;2
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1544,00;2
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1569,00;2
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1599,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1637,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1649,00;6
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1690,00;6
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1709,00;2
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1715,00;2
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1727,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1730,00;4
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1744,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1760,00;3
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1785,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1809,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1815,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1819,00;2
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1829,00;2
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1961,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;1980,00;5
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;2000,00;2
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;2040,00;6
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;2049,00;4
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;2104,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;2129,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;2175,00;1
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;2220,00;3
2022;7;AAL;SBGL;KMIA;SBGL;Y;Y;2260,00;1
2022;7;AAL;SBGR;KDFW;9999;J;NA;4175,00;1
2022;7;AAL;SBGR;KDFW;9999;J;NA;7649,00;1
2022;7;AAL;SBGR;KDFW;9999;Y;NA;1630,00;2
2022;7;AAL;SBGR;KDFW;9999;Y;NA;1655,00;2
2022;7;AAL;SBGR;KDFW;SBGR;J;J;2538,00;2
2022;7;AAL;SBGR;KDFW;SBGR;J;J;2650,00;2
2022;7;AAL;SBGR;KDFW;SBGR;J;J;3093,00;1
2022;7;AAL;SBGR;KDFW;SBGR;J;J;3226,00;1
2022;7;AAL;SBGR;KDFW;SBGR;J;J;3599,00;1
2022;7;AAL;SBGR;KDFW;SBGR;J;J;3615,00;1
2022;7;AAL;SBGR;KDFW;SBGR;J;J;3815,00;1
2022;7;AAL;SBGR;KDFW;SBGR;J;J;3990,00;1
2022;7;AAL;SBGR;KDFW;SBGR;J;J;7621,00;1
2022;7;AAL;SBGR;KDFW;SBGR;J;J;7780,00;1
2022;7;AAL;SBGR;KDFW;SBGR;J;J;8350,00;1
2022;7;AAL;SBGR;KDFW;SBGR;J;J;9726,00;1
2022;7;AAL;SBGR;KDFW;SBGR;J;J;9951,00;2
2022;7;AAL;SBGR;KDFW;SBGR;J;J;10051,00;1
2022;7;AAL;SBGR;KDFW;SBGR;J;J;11380,00;1
2022;7;AAL;SBGR;KDFW;SBGR;J;J;11874,00;2
2022;7;AAL;SBGR;KDFW;SBGR;J;J;12598,00;2
2022;7;AAL;SBGR;KDFW;SBGR;J;J;13444,00;4
2022;7;AAL;SBGR;KDFW;SBGR;J;J;15098,00;3
2022;7;AAL;SBGR;KDFW;SBGR;Y;Y;1436,00;2
2022;7;AAL;SBGR;KDFW;SBGR;Y;Y;1446,00;1
2022;7;AAL;SBGR;KDFW;SBGR;Y;Y;1456,00;5
2022;7;AAL;SBGR;KDFW;SBGR;Y;Y;1493,00;1
2022;7;AAL;SBGR;KDFW;SBGR;Y;Y;1553,00;2
