ANO;MES;EMPRESA;ORIGEM;DESTINO;RETORNO;CLASSE IDA;CLASSE VOLTA;TARIFA;ASSENTOS
2022;4;AAL;SBGL;KJFK;SBGL;J;J;1352,00;1
2022;4;AAL;SBGL;KJFK;SBGL;J;J;3800,00;1
2022;4;AAL;SBGL;KJFK;SBGL;Y;Y;742,00;5
2022;4;AAL;SBGL;KJFK;SBGL;Y;Y;822,00;2
2022;4;AAL;SBGL;KJFK;SBGL;Y;Y;872,00;2
2022;4;AAL;SBGL;KMIA;9999;J;NA;1204,00;1
2022;4;AAL;SBGL;KMIA;9999;J;NA;1300,00;2
2022;4;AAL;SBGL;KMIA;9999;J;NA;1392,00;1
2022;4;AAL;SBGL;KMIA;9999;J;NA;2802,00;2
2022;4;AAL;SBGL;KMIA;9999;J;NA;2902,00;4
2022;4;AAL;SBGL;KMIA;9999;Y;NA;352,00;2
2022;4;AAL;SBGL;KMIA;9999;Y;NA;392,00;17
2022;4;AAL;SBGL;KMIA;9999;Y;NA;452,00;4
2022;4;AAL;SBGL;KMIA;9999;Y;NA;477,00;3
2022;4;AAL;SBGL;KMIA;9999;Y;NA;478,00;1
2022;4;AAL;SBGL;KMIA;9999;Y;NA;503,00;1
2022;4;AAL;SBGL;KMIA;9999;Y;NA;543,00;1
2022;4;AAL;SBGL;KMIA;9999;Y;NA;574,00;3
2022;4;AAL;SBGL;KMIA;9999;Y;NA;639,00;1
2022;4;AAL;SBGL;KMIA;9999;Y;NA;720,00;2
2022;4;AAL;SBGL;KMIA;9999;Y;NA;827,00;2
2022;4;AAL;SBGL;KMIA;9999;Y;NA;860,00;2
2022;4;AAL;SBGL;KMIA;9999;Y;NA;966,00;1
2022;4;AAL;SBGL;KMIA;9999;Y;NA;1098,00;2
2022;4;AAL;SBGL;KMIA;SBGL;J;J;1314,00;4
2022;4;AAL;SBGL;KMIA;SBGL;J;J;1339,00;1
2022;4;AAL;SBGL;KMIA;SBGL;J;J;1434,00;6
2022;4;AAL;SBGL;KMIA;SBGL;J;J;1464,00;1
2022;4;AAL;SBGL;KMIA;SBGL;J;J;1525,00;2
2022;4;AAL;SBGL;KMIA;SBGL;J;J;1532,00;1
2022;4;AAL;SBGL;KMIA;SBGL;J;J;1550,00;2
2022;4;AAL;SBGL;KMIA;SBGL;J;J;1555,00;1
2022;4;AAL;SBGL;KMIA;SBGL;J;J;1559,00;2
2022;4;AAL;SBGL;KMIA;SBGL;J;J;1561,00;1
2022;4;AAL;SBGL;KMIA;SBGL;J;J;1611,00;1
2022;4;AAL;SBGL;KMIA;SBGL;J;J;1621,00;2
2022;4;AAL;SBGL;KMIA;SBGL;J;J;1646,00;4
2022;4;AAL;SBGL;KMIA;SBGL;J;J;1694,00;6
2022;4;AAL;SBGL;KMIA;SBGL;J;J;1712,00;3
2022;4;AAL;SBGL;KMIA;SBGL;J;J;1726,00;1
2022;4;AAL;SBGL;KMIA;SBGL;J;J;1802,00;2
2022;4;AAL;SBGL;KMIA;SBGL;J;J;1837,00;2
2022;4;AAL;SBGL;KMIA;SBGL;J;J;1908,00;1
2022;4;AAL;SBGL;KMIA;SBGL;J;J;1914,00;1
2022;4;AAL;SBGL;KMIA;SBGL;J;J;1957,00;1
2022;4;AAL;SBGL;KMIA;SBGL;J;J;1990,00;1
2022;4;AAL;SBGL;KMIA;SBGL;J;J;2047,00;1
2022;4;AAL;SBGL;KMIA;SBGL;J;J;2108,00;1
2022;4;AAL;SBGL;KMIA;SBGL;J;J;2109,00;1
2022;4;AAL;SBGL;KMIA;SBGL;J;J;2121,00;2
2022;4;AAL;SBGL;KMIA;SBGL;J;J;2157,00;1
2022;4;AAL;SBGL;KMIA;SBGL;J;J;2182,00;1
2022;4;AAL;SBGL;KMIA;SBGL;J;J;2183,00;2
2022;4;AAL;SBGL;KMIA;SBGL;J;J;2225,00;2
2022;4;AAL;SBGL;KMIA;SBGL;J;J;2267,00;1
2022;4;AAL;SBGL;KMIA;SBGL;J;J;2369,00;2
2022;4;AAL;SBGL;KMIA;SBGL;J;J;2600,00;3
2022;4;AAL;SBGL;KMIA;SBGL;J;J;2735,00;1
2022;4;AAL;SBGL;KMIA;SBGL;J;J;2755,00;2
2022;4;AAL;SBGL;KMIA;SBGL;J;J;2992,00;2
2022;4;AAL;SBGL;KMIA;SBGL;J;J;3100,00;2
2022;4;AAL;SBGL;KMIA;SBGL;J;J;3289,00;2
2022;4;AAL;SBGL;KMIA;SBGL;J;J;3597,00;1
2022;4;AAL;SBGL;KMIA;SBGL;J;J;3600,00;3
2022;4;AAL;SBGL;KMIA;SBGL;J;J;3800,00;1
2022;4;AAL;SBGL;KMIA;SBGL;J;J;3950,00;1
2022;4;AAL;SBGL;KMIA;SBGL;J;J;3979,00;1
2022;4;AAL;SBGL;KMIA;SBGL;J;J;4150,00;2
2022;4;AAL;SBGL;KMIA;SBGL;J;J;4214,00;1
2022;4;AAL;SBGL;KMIA;SBGL;J;J;4294,00;1
2022;4;AAL;SBGL;KMIA;SBGL;J;J;4500,00;1
2022;4;AAL;SBGL;KMIA;SBGL;J;J;4589,00;5
2022;4;AAL;SBGL;KMIA;SBGL;J;J;4789,00;6
2022;4;AAL;SBGL;KMIA;SBGL;J;J;4978,00;1
2022;4;AAL;SBGL;KMIA;SBGL;J;J;5139,00;3
2022;4;AAL;SBGL;KMIA;SBGL;J;J;5578,00;1
2022;4;AAL;SBGL;KMIA;SBGL;J;J;5604,00;2
2022;4;AAL;SBGL;KMIA;SBGL;J;J;5778,00;2
2022;4;AAL;SBGL;KMIA;SBGL;J;J;5804,00;6
2022;4;AAL;SBGL;KMIA;SBGL;J;J;6089,00;2
2022;4;AAL;SBGL;KMIA;SBGL;J;J;6615,00;3
2022;4;AAL;SBGL;KMIA;SBGL;J;J;11801,00;1
2022;4;AAL;SBGL;KMIA;SBGL;J;J;11901,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;654,00;4
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;679,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;704,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;714,00;3
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;737,00;2
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;762,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;774,00;4
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;784,00;6
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;809,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;834,00;4
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;842,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;844,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;865,00;5
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;892,00;2
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;904,00;10
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;913,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;917,00;2
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;929,00;8
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;950,00;3
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;952,00;2
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;954,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;961,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;967,00;2
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;977,00;2
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;988,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;995,00;5
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1002,00;2
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1020,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1025,00;2
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1031,00;3
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1043,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1050,00;2
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1056,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1080,00;3
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1082,00;2
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1084,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1086,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1091,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1105,00;4
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1139,00;6
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1164,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1182,00;2
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1197,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1207,00;2
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1219,00;5
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1222,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1223,00;5
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1232,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1244,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1262,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1269,00;2
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1272,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1278,00;6
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1292,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1302,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1327,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1335,00;2
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1336,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1353,00;4
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1358,00;2
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1361,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1365,00;2
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1367,00;3
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1378,00;4
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1424,00;2
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1427,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1449,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1466,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1510,00;2
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1540,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1570,00;2
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1612,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1654,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1663,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1672,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1685,00;2
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1695,00;3
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1710,00;6
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1745,00;2
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1770,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1776,00;1
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1860,00;5
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;1925,00;2
2022;4;AAL;SBGL;KMIA;SBGL;Y;Y;3899,00;1
2022;4;AAL;SBGL;KMIA;SBGR;J;J;4689,00;1
2022;4;AAL;SBGR;KDFW;9999;J;NA;1165,00;1
2022;4;AAL;SBGR;KDFW;9999;J;NA;1810,00;7
2022;4;AAL;SBGR;KDFW;9999;J;NA;4325,00;1
2022;4;AAL;SBGR;KDFW;9999;Y;NA;785,00;1
2022;4;AAL;SBGR;KDFW;9999;Y;NA;850,00;1
2022;4;AAL;SBGR;KDFW;9999;Y;NA;875,00;1
2022;4;AAL;SBGR;KDFW;SBGR;J;J;1893,00;1
2022;4;AAL;SBGR;KDFW;SBGR;J;J;1986,00;2
2022;4;AAL;SBGR;KDFW;SBGR;J;J;2025,00;3
2022;4;AAL;SBGR;KDFW;SBGR;J;J;2245,00;2
2022;4;AAL;SBGR;KDFW;SBGR;J;J;2250,00;2
2022;4;AAL;SBGR;KDFW;SBGR;J;J;2255,00;1
2022;4;AAL;SBGR;KDFW;SBGR;J;J;2565,00;2
2022;4;AAL;SBGR;KDFW;SBGR;J;J;2941,00;1
2022;4;AAL;SBGR;KDFW;SBGR;J;J;3900,00;2
2022;4;AAL;SBGR;KDFW;SBGR;J;J;4023,00;1
2022;4;AAL;SBGR;KDFW;SBGR;J;J;4205,00;1
2022;4;AAL;SBGR;KDFW;SBGR;J;J;4405,00;1
2022;4;AAL;SBGR;KDFW;SBGR;J;J;4535,00;1
2022;4;AAL;SBGR;KDFW;SBGR;J;J;5190,00;1
2022;4;AAL;SBGR;KDFW;SBGR;J;J;6607,00;1
2022;4;AAL;SBGR;KDFW;SBGR;J;J;7192,00;1
2022;4;AAL;SBGR;KDFW;SBGR;J;J;7315,00;1
2022;4;AAL;SBGR;KDFW;SBGR;J;J;7417,00;1
