ANO;MES;EMPRESA;ORIGEM;DESTINO;RETORNO;CLASSE IDA;CLASSE VOLTA;TARIFA;ASSENTOS
2022;10;AAL;SBGL;KJFK;9999;J;NA;1225,00;1
2022;10;AAL;SBGL;KJFK;9999;J;NA;1285,00;1
2022;10;AAL;SBGL;KJFK;9999;J;NA;2070,00;2
2022;10;AAL;SBGL;KJFK;9999;J;NA;2160,00;1
2022;10;AAL;SBGL;KJFK;9999;J;NA;2210,00;1
2022;10;AAL;SBGL;KJFK;9999;J;NA;2260,00;1
2022;10;AAL;SBGL;KJFK;9999;Y;NA;660,00;1
2022;10;AAL;SBGL;KJFK;9999;Y;NA;750,00;1
2022;10;AAL;SBGL;KJFK;9999;Y;NA;835,00;2
2022;10;AAL;SBGL;KJFK;9999;Y;NA;1040,00;1
2022;10;AAL;SBGL;KJFK;9999;Y;NA;1070,00;1
2022;10;AAL;SBGL;KJFK;SBGL;J;J;1792,00;3
2022;10;AAL;SBGL;KJFK;SBGL;J;J;1872,00;3
2022;10;AAL;SBGL;KJFK;SBGL;J;J;1972,00;1
2022;10;AAL;SBGL;KJFK;SBGL;J;J;2181,00;1
2022;10;AAL;SBGL;KJFK;SBGL;J;J;2571,00;1
2022;10;AAL;SBGL;KJFK;SBGL;J;J;2726,00;1
2022;10;AAL;SBGL;KJFK;SBGL;J;J;2960,00;1
2022;10;AAL;SBGL;KJFK;SBGL;J;J;3046,00;3
2022;10;AAL;SBGL;KJFK;SBGL;J;J;3355,00;1
2022;10;AAL;SBGL;KJFK;SBGL;J;J;3385,00;3
2022;10;AAL;SBGL;KJFK;SBGL;J;J;4140,00;8
2022;10;AAL;SBGL;KJFK;SBGL;J;J;4220,00;5
2022;10;AAL;SBGL;KJFK;SBGL;J;J;4240,00;1
2022;10;AAL;SBGL;KJFK;SBGL;J;J;4520,00;1
2022;10;AAL;SBGL;KJFK;SBGL;J;J;4640,00;3
2022;10;AAL;SBGL;KJFK;SBGL;J;J;4720,00;1
2022;10;AAL;SBGL;KJFK;SBGL;J;J;4744,00;1
