ANO;MES;EMPRESA;ORIGEM;DESTINO;RETORNO;CLASSE IDA;CLASSE VOLTA;TARIFA;ASSENTOS
2022;8;AAL;SBGL;KJFK;9999;J;NA;1950,00;1
2022;8;AAL;SBGL;KJFK;9999;J;NA;2570,00;1
2022;8;AAL;SBGL;KJFK;9999;Y;NA;579,00;1
2022;8;AAL;SBGL;KJFK;9999;Y;NA;624,00;1
2022;8;AAL;SBGL;KJFK;9999;Y;NA;640,00;1
2022;8;AAL;SBGL;KJFK;9999;Y;NA;895,00;1
2022;8;AAL;SBGL;KJFK;SBGL;J;J;1352,00;3
2022;8;AAL;SBGL;KJFK;SBGL;J;J;1552,00;1
2022;8;AAL;SBGL;KJFK;SBGL;J;J;1792,00;2
2022;8;AAL;SBGL;KJFK;SBGL;J;J;1986,00;2
2022;8;AAL;SBGL;KJFK;SBGL;J;J;2181,00;3
2022;8;AAL;SBGL;KJFK;SBGL;J;J;3800,00;1
2022;8;AAL;SBGL;KJFK;SBGL;J;J;3900,00;1
2022;8;AAL;SBGL;KJFK;SBGL;J;J;4100,00;8
2022;8;AAL;SBGL;KJFK;SBGL;J;J;4140,00;13
2022;8;AAL;SBGL;KJFK;SBGL;J;J;4150,00;9
2022;8;AAL;SBGL;KJFK;SBGL;J;J;4640,00;1
2022;8;AAL;SBGL;KJFK;SBGL;J;J;5660,00;2
2022;8;AAL;SBGL;KJFK;SBGL;Y;J;2511,00;1
2022;8;AAL;SBGL;KJFK;SBGL;Y;Y;641,00;7
2022;8;AAL;SBGL;KJFK;SBGL;Y;Y;792,00;1
2022;8;AAL;SBGL;KJFK;SBGL;Y;Y;817,00;1
2022;8;AAL;SBGL;KJFK;SBGL;Y;Y;822,00;2
2022;8;AAL;SBGL;KJFK;SBGL;Y;Y;909,00;2
2022;8;AAL;SBGL;KJFK;SBGL;Y;Y;922,00;17
2022;8;AAL;SBGL;KJFK;SBGL;Y;Y;947,00;2
2022;8;AAL;SBGL;KJFK;SBGL;Y;Y;949,00;2
2022;8;AAL;SBGL;KJFK;SBGL;Y;Y;962,00;7
2022;8;AAL;SBGL;KJFK;SBGL;Y;Y;987,00;1
2022;8;AAL;SBGL;KJFK;SBGL;Y;Y;999,00;12
2022;8;AAL;SBGL;KJFK;SBGL;Y;Y;1002,00;5
2022;8;AAL;SBGL;KJFK;SBGL;Y;Y;1027,00;1
2022;8;AAL;SBGL;KJFK;SBGL;Y;Y;1041,00;1
2022;8;AAL;SBGL;KJFK;SBGL;Y;Y;1081,00;2
2022;8;AAL;SBGL;KJFK;SBGL;Y;Y;1186,00;4
2022;8;AAL;SBGL;KJFK;SBGL;Y;Y;1231,00;1
2022;8;AAL;SBGL;KJFK;SBGL;Y;Y;1266,00;6
2022;8;AAL;SBGL;KJFK;SBGL;Y;Y;1276,00;6
2022;8;AAL;SBGL;KJFK;SBGL;Y;Y;1316,00;1
2022;8;AAL;SBGL;KJFK;SBGL;Y;Y;1356,00;1
2022;8;AAL;SBGL;KJFK;SBGL;Y;Y;1396,00;1
2022;8;AAL;SBGL;KJFK;SBGL;Y;Y;1486,00;1
2022;8;AAL;SBGL;KJFK;SBGL;Y;Y;1500,00;1
2022;8;AAL;SBGL;KJFK;SBGL;Y;Y;1630,00;7
2022;8;AAL;SBGL;KJFK;SBGL;Y;Y;1730,00;4
2022;8;AAL;SBGL;KJFK;SBGR;J;J;2191,00;1
2022;8;AAL;SBGL;KJFK;SBGR;J;J;5850,00;1
2022;8;AAL;SBGL;KJFK;SBGR;Y;Y;1170,00;1
2022;8;AAL;SBGL;KMIA;9999;J;NA;937,00;2
2022;8;AAL;SBGL;KMIA;9999;J;NA;1164,00;1
2022;8;AAL;SBGL;KMIA;9999;J;NA;2170,00;1
2022;8;AAL;SBGL;KMIA;9999;J;NA;2634,00;1
2022;8;AAL;SBGL;KMIA;9999;J;NA;2780,00;1
2022;8;AAL;SBGL;KMIA;9999;J;NA;3652,00;2
2022;8;AAL;SBGL;KMIA;9999;J;NA;3881,00;1
2022;8;AAL;SBGL;KMIA;9999;Y;NA;452,00;2
2022;8;AAL;SBGL;KMIA;9999;Y;NA;487,00;1
2022;8;AAL;SBGL;KMIA;9999;Y;NA;492,00;2
2022;8;AAL;SBGL;KMIA;9999;Y;NA;517,00;3
2022;8;AAL;SBGL;KMIA;9999;Y;NA;532,00;4
2022;8;AAL;SBGL;KMIA;9999;Y;NA;537,00;2
2022;8;AAL;SBGL;KMIA;9999;Y;NA;562,00;2
2022;8;AAL;SBGL;KMIA;9999;Y;NA;578,00;1
2022;8;AAL;SBGL;KMIA;9999;Y;NA;597,00;1
2022;8;AAL;SBGL;KMIA;9999;Y;NA;598,00;1
2022;8;AAL;SBGL;KMIA;9999;Y;NA;603,00;1
2022;8;AAL;SBGL;KMIA;9999;Y;NA;623,00;1
2022;8;AAL;SBGL;KMIA;9999;Y;NA;643,00;1
2022;8;AAL;SBGL;KMIA;9999;Y;NA;645,00;3
2022;8;AAL;SBGL;KMIA;9999;Y;NA;663,00;6
2022;8;AAL;SBGL;KMIA;9999;Y;NA;674,00;1
2022;8;AAL;SBGL;KMIA;9999;Y;NA;683,00;1
2022;8;AAL;SBGL;KMIA;9999;Y;NA;694,00;1
2022;8;AAL;SBGL;KMIA;9999;Y;NA;719,00;4
2022;8;AAL;SBGL;KMIA;9999;Y;NA;739,00;2
2022;8;AAL;SBGL;KMIA;9999;Y;NA;845,00;1
2022;8;AAL;SBGL;KMIA;9999;Y;NA;885,00;1
2022;8;AAL;SBGL;KMIA;9999;Y;NA;905,00;1
2022;8;AAL;SBGL;KMIA;9999;Y;NA;910,00;1
2022;8;AAL;SBGL;KMIA;SBGL;J;J;1214,00;1
2022;8;AAL;SBGL;KMIA;SBGL;J;J;1534,00;1
2022;8;AAL;SBGL;KMIA;SBGL;J;J;1714,00;5
2022;8;AAL;SBGL;KMIA;SBGL;J;J;1717,00;3
2022;8;AAL;SBGL;KMIA;SBGL;J;J;1754,00;4
2022;8;AAL;SBGL;KMIA;SBGL;J;J;1767,00;3
2022;8;AAL;SBGL;KMIA;SBGL;J;J;1807,00;4
2022;8;AAL;SBGL;KMIA;SBGL;J;J;1820,00;2
2022;8;AAL;SBGL;KMIA;SBGL;J;J;1834,00;1
2022;8;AAL;SBGL;KMIA;SBGL;J;J;1850,00;1
