ANO;MES;EMPRESA;ORIGEM;DESTINO;RETORNO;CLASSE IDA;CLASSE VOLTA;TARIFA;ASSENTOS
2022;12;AAL;SBGL;KJFK;9999;J;NA;1098,00;1
2022;12;AAL;SBGL;KJFK;9999;J;NA;2774,00;2
2022;12;AAL;SBGL;KJFK;9999;Y;NA;483,00;1
2022;12;AAL;SBGL;KJFK;9999;Y;NA;548,00;1
2022;12;AAL;SBGL;KJFK;9999;Y;NA;763,00;1
2022;12;AAL;SBGL;KJFK;9999;Y;NA;1305,00;1
2022;12;AAL;SBGL;KJFK;9999;Y;NA;1385,00;1
2022;12;AAL;SBGL;KJFK;9999;Y;NA;1390,00;1
2022;12;AAL;SBGL;KJFK;9999;Y;NA;1505,00;2
2022;12;AAL;SBGL;KJFK;SBGL;J;J;1928,00;2
2022;12;AAL;SBGL;KJFK;SBGL;J;J;2239,00;1
2022;12;AAL;SBGL;KJFK;SBGL;J;J;3100,00;1
2022;12;AAL;SBGL;KJFK;SBGL;J;J;4340,00;13
2022;12;AAL;SBGL;KJFK;SBGL;J;J;4354,00;8
2022;12;AAL;SBGL;KJFK;SBGL;J;J;4640,00;3
2022;12;AAL;SBGL;KJFK;SBGL;J;J;5044,00;2
2022;12;AAL;SBGL;KJFK;SBGL;J;J;5548,00;2
2022;12;AAL;SBGL;KJFK;SBGL;J;J;5920,00;1
2022;12;AAL;SBGL;KJFK;SBGL;J;J;7725,00;1
2022;12;AAL;SBGL;KJFK;SBGL;J;J;10774,00;1
2022;12;AAL;SBGL;KJFK;SBGL;Y;Y;1028,00;7
2022;12;AAL;SBGL;KJFK;SBGL;Y;Y;1066,00;1
2022;12;AAL;SBGL;KJFK;SBGL;Y;Y;1081,00;1
2022;12;AAL;SBGL;KJFK;SBGL;Y;Y;1179,00;2
2022;12;AAL;SBGL;KJFK;SBGL;Y;Y;1209,00;2
2022;12;AAL;SBGL;KJFK;SBGL;Y;Y;1231,00;1
2022;12;AAL;SBGL;KJFK;SBGL;Y;Y;1239,00;4
2022;12;AAL;SBGL;KJFK;SBGL;Y;Y;1304,00;2
2022;12;AAL;SBGL;KJFK;SBGL;Y;Y;1401,00;2
